Is there a way to select multiple items on the drop down?,You cannot select multiple items in the same dropdown. However. you can check if a dependent field would solve your problem. You can understand more about the dependent fields from https://support.freshdesk.com/support/solutions/articles/37599
I was wondering if it is possible to define email templates in Freshdesk,You can create Canned Responses and have from Admin--> Canned Responses and have it displayed to all agents so that they could insert it when replying to tickets.
How to customize login_form snippet?,We would not be able to customize the login_form snippet as this has been stored at our end and this would need common for all accounts.
How do I set this up on our company website,You can have the Feedback widget setup on your website for the convenience of your customers. To know more about the Feedback widget you can check out https://support.freshdesk.com/support/solutions/articles/37690
Are there different customer portals for the same freshdesk account?,You can create multiple portals / multiple products from the Estate plan. To know more please check https://support.freshdesk.com/support/solutions/articles/37638
How to delete a ticket field that I created?,Click on Admin>Ticket fields>Click on Delete symbol near the custom field you have created. But once the field is deleted. you will lose the data pertaining to this field in all old tickets permanently.      However the mandatory ticket fields cannot be deleted. It is not possible to delete a default ticket field as it is interlinked with other functionalities in the system. But. the field can be hidden from the customers' point of view and made non-mandatory for the agents while updating the tickets. Navigate to Admin -> ticket fields -> click on the concerned field and uncheck the boxes under agent as well as customer.
How do I delete a Customer field?,Go to Admin>Customer fields>Click on Delete symbol near the custom customer field you have created.
How can I make the reply to a ticket with just the users first name as defualt,"Go to Admin>Email notifications>Templates>Agent reply templates and then click on Insert placeholder option. And then you could select ""Requester first name"" placeholder. In this way . only the first name will be generated when you reply to a ticket."
Is there a way to add a group as member of another group?,There is no option to add a group as a member of another group. Only the agents can be a part of a group.
How do I turn off email notifications when I get a new ticket,Go to Admin>Email notifications> Agent Notifications> and turn OFF New Ticket created notifications. In this way. as an agent. you will not get any notification if a ticket is created in your name. You could do the same for Requesters as well in case you do not want your users to get email notifications upon creating a ticket.
How to change the automated response a client gets when they submit a ticket?,The automated response the customers gets when they submit a ticket is the New Ticket created notification. You can edit it under Admin>Email notifications> Requester notifications>New Ticket Created.
Are tags case sensitive?,Tags are not sensitive. If you create a tag in capital letters and then search it in small letters later. the results will be fetched.
How do I check the agents available for calls in the new MINT UI?," You can click on the phone icon on the bottom left corner of the MINT UI and choose ""View All"". It will redirect you to the Freshcaller page. Click on the Dashboard and you will be able to see the agents available for online as shown below:         "
How many mandatory ticket fields I can have?,You can have all the fields present in the account as mandatory one and there is no restriction in that.
What is the price for MINT UI?,There is no separate pricing for the new MINT interface.
I want only the agent's first name to be used in the reply template,Go to Admin>Email notifications>Templates>Agent reply templates and then click use this placeholder {{ticket.agent.firstname}} in the signature column. In this way. only the first name of the agent will be generated when you reply to a ticket.
IF I delete a ticket field will all previous entries that have that field be deleted?,Yes. if a ticket field is deleted all the values for that field will also be deleted.
How can I add 'Recent Activities' to a team dashboard?,There is no option to add recent activities as a widget to the team dashboard. Recent activities would only appear in the regular dashboard as the team dashboard is built mainly to focus on showing the overall statistics and metrics of the agent/team.
I can't create dynamic fields,Please check if you are in the Estate plan and if yes. the maximum number of Dynamic fields allowed in an account is 2.
Not able to add CC through portal.,You can turn on the option for the requester to add a CC in the ticket he/she raises from Admin--> Ticket fields--> Click on Requester.     However. only if the customer is logged into the customer portal would he/she be able to add this. 
Can the attachments be exported from Freshdesk?,The Account Admin will be able to take an Account Export of all the tickets from Admin--> Accounts. However. this will be as an XML and the URL of the attachment would only be present.
I want my agents to be able to access the help desk only from work.,You can make use of IP whitelisting feature that we provide in the Forest plan. You can make sure that your employees access your Freshdesk account only from your office IPs. 
How to setup and use the Audit logs?,A quick guide to using Audit Log:    Log in to your Freshdesk account as an Administrator    Go to the Admin tab and click on ‘Audit Log’ under Account Settings             The list of changes performed on the helpdesk. across the mentioned modules. by the Admins will be displayed             The ‘Performed by’ column will give you the name of the Admin who performed the action. the time and date when the action was performed. along with their IP address    Clicking their name will take you to their agent profile      The ‘Event’ column will give you details on the type of action performed — Created. Updated. or Deleted    The ‘What changed’ column will give you details of the change along with a link to that module    If an update was made to an existing automation rule. you will have an option to ‘View Changes’    Clicking ‘View changes’ will open out the slider. displaying in detail the original setup along with what was changed. in two distinct grids            Click the ‘Filter’ option to narrow down the changes made:    during a specific time period  by a specific Admin   to any one specific module in the helpdesk        By default. the latest change made across these modules on the helpdesk will be displayed first in the list. Please refer this link for more details.
